Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
1, Porsche,Cayman ,2011,"    21000000
    ₸
",Алматы,купе,3.4 (бензин),17 000 км,робот,слева,белый,задний привод,Да,,,
2, Land Rover,Range Rover ,2008,"    8500000
    ₸
",Алматы,внедорожник,4.2 (бензин),156 000 км,автомат,слева,белый,полный привод,Да,,,
3, Chery,Very ,2011,"    1050000
    ₸
",Костанай,хэтчбек,1.5 (бензин),200 000 км,механика,слева,серебристый,передний привод,Нет,11111111*11****11,,
4, Daewoo,Matiz ,2010,"    1750000
    ₸
",Алматы,хэтчбек,0.8 (бензин),150 км,автомат,слева,золотистый металлик,передний привод,Да,,,
5, Hyundai,Sonata ,2016,"    7900000
    ₸
",Нур-Султан (Астана),седан,2 (бензин),73 000 км,автомат,слева,белый металлик,передний привод,Да,,,
6, Lexus,RX 350 ,2007,"    6100000
    ₸
",Нур-Султан (Астана),кроссовер,3.5 (газ-бензин),235 000 км,автомат,слева,серый,полный привод,Нет,,,
7, ГАЗ,ГАЗель ,2004,"    1850000
    ₸
",Нур-Султан (Астана),пикап,2.4 (бензин),,механика,слева,белый,задний привод,Нет,,,
8, Mitsubishi,Challenger ,1996,"    3800000
    ₸
",Алматы,внедорожник,3 (бензин),100 000 км,автомат,справа,голубой,полный привод,Да,,,
9, Land Rover,Range Rover ,2019,"    64000000
    ₸
",Алматы,внедорожник,5 (бензин),26 000 км,автомат,слева,серый,полный привод,Да,,,
10, Audi,A6 ,1997,"    2950000
    ₸
",Петропавловск,седан,2.4 (бензин),,автомат,слева,бежевый металлик,передний привод,Да,,,
11, Kia,Cerato ,2012,"    4460000
    ₸
",Атырау,седан,1.6 (бензин),156 158 км,автомат,слева,белый,передний привод,Да,,,
12, BMW,X6 ,2010,"    10100000
    ₸
",Караганда,кроссовер,3 (дизель),187 000 км,автомат,слева,зеленый,полный привод,Да,,,
13, Toyota,Land Cruiser ,2016,"    35500000
    ₸
",Шымкент,внедорожник,4.6 (бензин),52 000 км,автомат,слева,белый,полный привод,Да,,,
14, Mercedes-Benz,E 320 ,1995,"    2650000
    ₸
",Алматы,седан,3.2 (бензин),,автомат,слева,бордовый,задний привод,Да,,,
15, Toyota,Prius ,2009,"    4300000
    ₸
",Алматы,хэтчбек,1.5 (гибрид),,вариатор,слева,серебристый,передний привод,Да,,,
16, Hyundai,Santa Fe ,2002,"    3000000
    ₸
",Караганда,кроссовер,2.4 (бензин),291 427 км,механика,слева,бронза,полный привод,Да,KMHSC81B*2U****68,,
17, ВАЗ (Lada),2170 (седан) ,2013,"    2500000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),120 000 км,механика,слева,серебристый,передний привод,Да,,,
18, Mercedes-Benz,E 240 ,2001,"    3800000
    ₸
",Шымкент,седан,2.4 (бензин),300 км,автомат,слева,синий,задний привод,Да,,,
19, Nissan,X-Trail ,2019,"    11300000
    ₸
",Тараз,кроссовер,2.5 (бензин),37 000 км,вариатор,слева,серый металлик,полный привод,Да,,,
0, Toyota,Estima ,2009,"    6200000
    ₸
",Талдыкорган,минивэн,2.4 (бензин),148 000 км,типтроник,справа,белый металлик,передний привод,Да,,,
1, Kia,Sportage ,2020,"    15000000
    ₸
",Алматы,кроссовер,2.4 (бензин),6 000 км,автомат,слева,серебристый,полный привод,Да,,,
2, Nissan,Almera Classic ,2007,"    1800000
    ₸
",Алматы,седан,1.6 (бензин),,механика,слева,черный,передний привод,Да,,,
3, Kia,Credos ,1998,"    1500000
    ₸
",Алматы,седан,1.8 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
4, Kia,Cerato ,2014,"    4400000
    ₸
",Нур-Султан (Астана),седан,1.6 (газ-бензин),215 км,механика,слева,черный,передний привод,Да,,,
5, Toyota,Land Cruiser ,2010,"    16800000
    ₸
",Караганда,внедорожник,4.7 (бензин),240 000 км,автомат,слева,черный,полный привод,Да,,,
6, Volkswagen,Golf ,2015,"    6700000
    ₸
",Нур-Султан (Астана),хэтчбек,1.4 (бензин),51 000 км,автомат,слева,черный металлик,передний привод,Да,,,
