Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
14, Nissan,Altima ,2007,"    4200000
    ₸
",Алматы,седан,2.5 (бензин),230 000 км,вариатор,слева,зеленый,передний привод,Да,,,
15, ИЖ,2715 ,1992,"    500000
    ₸
",Караганда,пикап,1.5 (бензин),,механика,слева,синий,задний привод,Да,,,
16, BMW,525 ,1993,"    750000
    ₸
",Талдыкорган,универсал,2.5 (бензин),500 000 км,механика,слева,черный,задний привод,Да,,Да,
17, Toyota,Ipsum ,1996,"    2800000
    ₸
",Алматы,минивэн,2 (бензин),412 000 км,автомат,справа,,полный привод,Да,,,
18, Mercedes-Benz,Sprinter ,2008,"    6666666
    ₸
",Текели,микроавтобус,2.9 (дизель),555 км,механика,слева,белый,задний привод,Да,,,
19, ВАЗ (Lada),2114 (хэтчбек) ,2007,"    850000
    ₸
",Костанай,хэтчбек,1.6 (бензин),250 000 км,механика,слева,зеленый,передний привод,Да,,,
0, Toyota,Highlander , 2011,"    7800000
    ₸
",Актобе,кроссовер,3.5 (бензин),,автомат,слева,серый,полный привод,Нет,,,
1, Lexus,RX 330 , 2004,"    7000000
    ₸
",Аягоз,кроссовер,3.3 (бензин),254 700 км,автомат,слева,золотистый,передний привод,Да,,,
2, Toyota,Previa , 1992,"    1400000
    ₸
",Шамалган,минивэн,2.4 (бензин),,механика,слева,серый металлик,задний привод,Да,,,
3, ВАЗ (Lada),2114 (хэтчбек) , 2013,"    1600000
    ₸
",Актобе,хэтчбек,1.6 (бензин),,механика,слева,белый,передний привод,Да,,,
4, Toyota,Camry , 2010,"    4400000
    ₸
",Актау,седан,2.5 (бензин),241 200 км,автомат,слева,,передний привод,Нет,,,
5, Hyundai,Elantra , 2013,"    4600000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),156 497 км,автомат,слева,серебристый,передний привод,Да,,,
6, Lexus,LX 570 , 2008,"    15500000
    ₸
",Семей,внедорожник,5.7 (бензин),193 000 км,автомат,слева,белый металлик,полный привод,Да,,,
7, Skoda,Octavia , 2018,"    4700000
    ₸
",Аксай,лифтбек,1.6 (бензин),150 000 км,автомат,слева,белый,передний привод,Нет,,,
8, Nissan,Altima , 2007,"    4200000
    ₸
",Алматы,седан,2.5 (бензин),230 000 км,вариатор,слева,зеленый,передний привод,Да,,,
9, ИЖ,2715 , 1992,"    500000
    ₸
",Караганда,пикап,1.5 (бензин),,механика,слева,синий,задний привод,Да,,,
10, BMW,525 , 1993,"    750000
    ₸
",Талдыкорган,универсал,2.5 (бензин),500 000 км,механика,слева,черный,задний привод,Да,,Да,
11, Toyota,Ipsum , 1996,"    2800000
    ₸
",Алматы,минивэн,2 (бензин),412 000 км,автомат,справа,,полный привод,Да,,,
12, Mercedes-Benz,Sprinter , 2008,"    6666666
    ₸
",Текели,микроавтобус,2.9 (дизель),555 км,механика,слева,белый,задний привод,Да,,,
13, ВАЗ (Lada),2114 (хэтчбек) , 2007,"    850000
    ₸
",Костанай,хэтчбек,1.6 (бензин),250 000 км,механика,слева,зеленый,передний привод,Да,,,
14, Chery,Fora , 2009,"    1850000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),230 000 км,механика,слева,синий,передний привод,Да,,,
15, Opel,Vectra , 1993,"    450000
    ₸
",Актобе,седан,1.6 (бензин),365 395 км,механика,слева,вишня,передний привод,Да,,,
16, Daewoo,Matiz , 2014,"    1350000
    ₸
",Актау,хэтчбек,0.8 (бензин),218 000 км,механика,слева,синий,передний привод,Да,,,
17, Volkswagen,Golf , 1993,"    1200000
    ₸
",Шымкент,хэтчбек,1.8 (бензин),452 678 км,механика,слева,черный,передний привод,Да,,,
18, Mercedes-Benz , 2007,года,"    5790000
    ₸
",Алматы,внедорожник,4.7 (газ-бензин),273 160 км,автомат,слева,черный,полный привод,Да,,,
19, Jeep,Grand Cherokee , 1993,"    1000000
    ₸
",Нур-Султан (Астана),внедорожник,3 (дизель),,автомат,слева,черный,задний привод,Да,,,
0, Daewoo,Matiz , 2014,"    1350000
    ₸
",Актау,хэтчбек,0.8 (бензин),218 000 км,механика,слева,синий,передний привод,Да,,,
1, Volkswagen,Golf , 1993,"    1200000
    ₸
",Шымкент,хэтчбек,1.8 (бензин),452 678 км,механика,слева,черный,передний привод,Да,,,
2, Mercedes-Benz , 2007,года,"    5790000
    ₸
",Алматы,внедорожник,4.7 (газ-бензин),273 160 км,автомат,слева,черный,полный привод,Да,,,
3, Jeep,Grand Cherokee , 1993,"    1000000
    ₸
",Нур-Султан (Астана),внедорожник,3 (дизель),,автомат,слева,черный,задний привод,Да,,,
4, ВАЗ (Lada),2114 (хэтчбек) , 2005,"    1100000
    ₸
",Алматы,хэтчбек,1.6 (бензин),250 000 км,механика,слева,,передний привод,Да,,,
5, Toyota,Highlander , 2013,"    11000000
    ₸
",Ушарал,кроссовер,3.5 (бензин),167 336 км,автомат,слева,черный,полный привод,Да,,,
6, Volkswagen,Golf , 1992,"    1450000
    ₸
",Алматы,седан,1.8 (бензин),,механика,слева,синий металлик,передний привод,Да,,,
7, Mercedes-Benz,E 240 , 1998,"    2950000
    ₸
",Алматы,седан,2.4 (бензин),385 000 км,автомат,слева,синий,задний привод,Да,,,
8, Toyota,Corolla , 2010,"    4900000
    ₸
",Тараз,седан,1.8 (бензин),128 640 км,автомат,слева,,передний привод,Да,,,
9, Toyota,Land Cruiser Prado , 2010,"    11800000
    ₸
",Нур-Султан (Астана),внедорожник,2.7 (бензин),187 827 км,автомат,слева,белый,полный привод,Да,,,
10, Nissan,Cube , 1999,"    1500000
    ₸
",Усть-Каменогорск,минивэн,1.3 (бензин),259 000 км,автомат,слева,серебристый,передний привод,Нет,,,
11, BMW,728 , 1997,"    3200000
    ₸
",Алматы,седан,2.8 (бензин),,автомат,слева,зеленый,задний привод,Да,,,
12, ВАЗ (Lada),2107 , 2007,"    570000
    ₸
",Актобе,седан,1.6 (бензин),200 км,механика,слева,,задний привод,Да,,,
13, Chevrolet,Tracker , 2014,"    5100000
    ₸
",Шымкент,кроссовер,1.8 (бензин),112 000 км,автомат,слева,серебристый металлик,передний привод,Да,,,
14, Mitsubishi,Pajero , 1991,"    2800000
    ₸
",Актау,внедорожник,3 (бензин),9 999 км,автомат,слева,зеленый,полный привод,Да,,,
15, Toyota,Camry , 2001,"    3600000
    ₸
",Нур-Султан (Астана),седан,2.2 (бензин),450 520 км,автомат,слева,серебристый,передний привод,Да,,,
16, ВАЗ (Lada),2109 (хэтчбек) , 2003,"    900000
    ₸
",Балхаш,хэтчбек,1.5 (бензин),250 000 км,механика,слева,зеленый,передний привод,Нет,,,
17, ВАЗ (Lada),2114 (хэтчбек) , 2013,"    1550000
    ₸
",Павлодар,хэтчбек,1.5 (бензин),131 000 км,механика,слева,белый,передний привод,Да,,,
18, Mazda,626 , 1997,"    1800000
    ₸
",Петропавловск,лифтбек,1.8 (дизель),,механика,слева,зеленый металлик,,Да,,,
19, ВАЗ (Lada),2114 (хэтчбек) , 2008,"    770000
    ₸
",Кандыагаш,хэтчбек,1.5 (бензин),,механика,слева,,передний привод,Нет,,,
0, ВАЗ (Lada),2114 (хэтчбек) , 2013,"    1550000
    ₸
",Павлодар,хэтчбек,1.5 (бензин),131 000 км,механика,слева,белый,передний привод,Да,,,
1, Mazda,626 , 1997,"    1800000
    ₸
",Петропавловск,лифтбек,1.8 (дизель),,механика,слева,зеленый металлик,,Да,,,
2, ВАЗ (Lada),2114 (хэтчбек) , 2008,"    770000
    ₸
",Кандыагаш,хэтчбек,1.5 (бензин),,механика,слева,,передний привод,Нет,,,
3, Daewoo,Nexia , 2009,"    1450000
    ₸
",Шымкент,седан,1.5 (бензин),,механика,слева,черный,передний привод,Да,,,
4, Mazda,CX-5 , 2019,"    15000000
    ₸
",Алматы,кроссовер,2.5 (бензин),24 700 км,автомат,слева,белый,полный привод,Да,,,
5, ВАЗ (Lada),2110 (седан) , 2003,"    500000
    ₸
",Караганда,седан,1.5 (бензин),,механика,слева,вишня,передний привод,Нет,,,
6, ВАЗ (Lada),2106 , 1993,"    500000
    ₸
",Актау,седан,1.5 (бензин),,механика,слева,бежевый,задний привод,Нет,,,
7, Peugeot,301 , 2016,"    4250000
    ₸
",Атырау,седан,1.6 (бензин),,автомат,слева,черный,передний привод,Да,,,
8, Mazda,626 , 1991,"    950000
    ₸
",Актау,седан,2 (бензин),458 000 км,механика,слева,белый,передний привод,Да,,,
9, Toyota,RAV 4 , 2007,"    6200000
    ₸
",Караганда,кроссовер,2.2 (дизель),170 000 км,механика,слева,,полный привод,Да,,,
10, ВАЗ (Lada),2115 (седан) , 2005,"    1200000
    ₸
",Экибастуз,седан,1.5 (бензин),,механика,слева,синий,передний привод,Да,,,
11, Nissan,Primera , 1993,"    820000
    ₸
",Тараз,седан,1.6 (бензин),,механика,слева,зеленый металлик,передний привод,Да,,,
12, Mercedes-Benz,E 280 , 1995,"    1800000
    ₸
",Туркестан,седан,2.8 (бензин),275 000 км,механика,слева,,задний привод,Да,,,
13, BMW,X5 , 2004,"    6250000
    ₸
",Семей,кроссовер,3 (бензин),240 000 км,типтроник,слева,черный металлик,полный привод,Да,,,
14, BMW,318 , 1992,"    1000000
    ₸
",Петропавловск,седан,1.8 (бензин),,механика,слева,черный,задний привод,Да,,,
15, Hyundai,Creta , 2021,"    8500000
    ₸
",Алматы,кроссовер,1.6 (бензин),350 км,автомат,слева,серый металлик,передний привод,Да,,,
16, ВАЗ (Lada),2107 , 2007,"    620000
    ₸
",Темиртау,седан,1.6 (бензин),,механика,слева,,задний привод,Нет,,,
17, Toyota,Avensis , 2008,"    3800000
    ₸
",Алматы,седан,1.8 (бензин),,механика,слева,серебристый,передний привод,Да,,,
18, ВАЗ (Lada) , 2012,года,"    1100000
    ₸
",Костанай,седан,1.6 (газ-бензин),72 000 км,механика,слева,серебристый,передний привод,Нет,,,
19, Toyota,Carina E , 1992,"    2000000
    ₸
",Алматы,лифтбек,2 (бензин),,автомат,слева,бордовый,передний привод,Да,,,
0, Mazda,626 , 1991,"    950000
    ₸
",Актау,седан,2 (бензин),458 000 км,механика,слева,белый,передний привод,Да,,,
1, Toyota,RAV 4 , 2007,"    6200000
    ₸
",Караганда,кроссовер,2.2 (дизель),170 000 км,механика,слева,,полный привод,Да,,,
2, ВАЗ (Lada),2115 (седан) , 2005,"    1200000
    ₸
",Экибастуз,седан,1.5 (бензин),,механика,слева,синий,передний привод,Да,,,
3, Nissan,Primera , 1993,"    820000
    ₸
",Тараз,седан,1.6 (бензин),,механика,слева,зеленый металлик,передний привод,Да,,,
4, Mercedes-Benz,E 280 , 1995,"    1800000
    ₸
",Туркестан,седан,2.8 (бензин),275 000 км,механика,слева,,задний привод,Да,,,
5, BMW,X5 , 2004,"    6250000
    ₸
",Семей,кроссовер,3 (бензин),240 000 км,типтроник,слева,черный металлик,полный привод,Да,,,
6, BMW,318 , 1992,"    1000000
    ₸
",Петропавловск,седан,1.8 (бензин),,механика,слева,черный,задний привод,Да,,,
7, Hyundai,Creta , 2021,"    8500000
    ₸
",Алматы,кроссовер,1.6 (бензин),350 км,автомат,слева,серый металлик,передний привод,Да,,,
8, ВАЗ (Lada),2107 , 2007,"    620000
    ₸
",Темиртау,седан,1.6 (бензин),,механика,слева,,задний привод,Нет,,,
9, Toyota,Avensis , 2008,"    3800000
    ₸
",Алматы,седан,1.8 (бензин),,механика,слева,серебристый,передний привод,Да,,,
10, ВАЗ (Lada) , 2012,года,"    1100000
    ₸
",Костанай,седан,1.6 (газ-бензин),72 000 км,механика,слева,серебристый,передний привод,Нет,,,
11, Toyota,Carina E , 1992,"    2000000
    ₸
",Алматы,лифтбек,2 (бензин),,автомат,слева,бордовый,передний привод,Да,,,
12, Audi,A4 , 1994,"    1400000
    ₸
",Усть-Каменогорск,седан,1.6 (бензин),250 000 км,механика,слева,синий,передний привод,Да,,,
13, Mitsubishi,Pajero , 1994,"    3100000
    ₸
",Алматы,внедорожник,3 (бензин),,автомат,слева,серый металлик,полный привод,Да,,,
14, Hyundai,Accent , 2015,"    4500000
    ₸
",Шымкент,седан,1.6 (бензин),,автомат,слева,белый,передний привод,Да,,,
15, ВАЗ (Lada),2114 (хэтчбек) , 2004,"    580000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),100 000 км,механика,слева,черный,,Да,XTA21144*D5****48,,
16, Volkswagen,Passat , 1989,"    1000000
    ₸
",Кордай,седан,1.8 (бензин),,механика,слева,черный,передний привод,Да,,,
17, Volkswagen,Passat , 2008,"    2100000
    ₸
",Актобе,седан,1.8 (бензин),95 км,автомат,слева,,передний привод,Нет,,,
18, Volkswagen,Polo , 2014,"    4400000
    ₸
",Шымкент,седан,1.6 (бензин),106 700 км,автомат,слева,серебристый,передний привод,Да,,,
19, Daewoo,Nexia , 1997,"    200000
    ₸
",Тараз,седан,1.5 (бензин),,механика,слева,вишня,передний привод,Да,,,
0, Hyundai,Creta , 2021,"    8500000
    ₸
",Алматы,кроссовер,1.6 (бензин),350 км,автомат,слева,серый металлик,передний привод,Да,,,
1, ВАЗ (Lada),2107 , 2007,"    620000
    ₸
",Темиртау,седан,1.6 (бензин),,механика,слева,,задний привод,Нет,,,
2, Toyota,Avensis , 2008,"    3800000
    ₸
",Алматы,седан,1.8 (бензин),,механика,слева,серебристый,передний привод,Да,,,
3, ВАЗ (Lada) , 2012,года,"    1100000
    ₸
",Костанай,седан,1.6 (газ-бензин),72 000 км,механика,слева,серебристый,передний привод,Нет,,,
4, Toyota,Carina E , 1992,"    2000000
    ₸
",Алматы,лифтбек,2 (бензин),,автомат,слева,бордовый,передний привод,Да,,,
5, Audi,A4 , 1994,"    1400000
    ₸
",Усть-Каменогорск,седан,1.6 (бензин),250 000 км,механика,слева,синий,передний привод,Да,,,
6, Mitsubishi,Pajero , 1994,"    3100000
    ₸
",Алматы,внедорожник,3 (бензин),,автомат,слева,серый металлик,полный привод,Да,,,
7, Hyundai,Accent , 2015,"    4500000
    ₸
",Шымкент,седан,1.6 (бензин),,автомат,слева,белый,передний привод,Да,,,
8, ВАЗ (Lada),2114 (хэтчбек) , 2004,"    580000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),100 000 км,механика,слева,черный,,Да,XTA21144*D5****48,,
9, Volkswagen,Passat , 1989,"    1000000
    ₸
",Кордай,седан,1.8 (бензин),,механика,слева,черный,передний привод,Да,,,
10, Volkswagen,Passat , 2008,"    2100000
    ₸
",Актобе,седан,1.8 (бензин),95 км,автомат,слева,,передний привод,Нет,,,
11, Volkswagen,Polo , 2014,"    4400000
    ₸
",Шымкент,седан,1.6 (бензин),106 700 км,автомат,слева,серебристый,передний привод,Да,,,
12, Daewoo,Nexia , 1997,"    200000
    ₸
",Тараз,седан,1.5 (бензин),,механика,слева,вишня,передний привод,Да,,,
13, Volkswagen,Passat , 2007,"    3900000
    ₸
",Петропавловск,седан,2 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
14, Mercedes-Benz,Vito , 2018,"    10900000
    ₸
",Алматы,минивэн,2.2 (дизель),160 000 км,механика,слева,,задний привод,Да,,,
15, Opel,Zafira , 1999,"    2000000
    ₸
",Жезказган,минивэн,1.6 (бензин),,механика,слева,черный,передний привод,Нет,,,
16, Renault,Logan , 2012,"    2400000
    ₸
",Актобе,седан,1.6 (бензин),130 000 км,механика,слева,,передний привод,Да,,,
17, Volkswagen,Golf , 1993,"    1200000
    ₸
",Щучинск,хэтчбек,1.9 (дизель),100 000 км,механика,слева,синий,передний привод,Да,,,
18, ВАЗ (Lada),2106 , 1997,"    550000
    ₸
",Жанакорган,седан,1.5 (бензин),853 808 км,механика,слева,вишня,задний привод,Нет,,,
19, Mercedes-Benz,190 , 1992,"    1690000
    ₸
",Темиртау,седан,2 (бензин),,механика,слева,черный,задний привод,Да,,,
0, Mitsubishi,Pajero ,1994,"    3100000
    ₸
",Алматы,внедорожник,3 (бензин),,автомат,слева,серый металлик,полный привод,Да,,,
1, Hyundai,Accent ,2015,"    4500000
    ₸
",Шымкент,седан,1.6 (бензин),,автомат,слева,белый,передний привод,Да,,,
2, ВАЗ (Lada),2114 (хэтчбек) ,2004,"    580000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),100 000 км,механика,слева,черный,,Да,XTA21144*D5****48,,
3, Volkswagen,Passat ,1989,"    1000000
    ₸
",Кордай,седан,1.8 (бензин),,механика,слева,черный,передний привод,Да,,,
4, Volkswagen,Passat ,2008,"    2100000
    ₸
",Актобе,седан,1.8 (бензин),95 км,автомат,слева,,передний привод,Нет,,,
5, Volkswagen,Polo ,2014,"    4400000
    ₸
",Шымкент,седан,1.6 (бензин),106 700 км,автомат,слева,серебристый,передний привод,Да,,,
6, Daewoo,Nexia ,1997,"    200000
    ₸
",Тараз,седан,1.5 (бензин),,механика,слева,вишня,передний привод,Да,,,
7, Volkswagen,Passat ,2007,"    3900000
    ₸
",Петропавловск,седан,2 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
8, Mercedes-Benz,Vito ,2018,"    10900000
    ₸
",Алматы,минивэн,2.2 (дизель),160 000 км,механика,слева,,задний привод,Да,,,
9, Opel,Zafira ,1999,"    2000000
    ₸
",Жезказган,минивэн,1.6 (бензин),,механика,слева,черный,передний привод,Нет,,,
10, Renault,Logan ,2012,"    2400000
    ₸
",Актобе,седан,1.6 (бензин),130 000 км,механика,слева,,передний привод,Да,,,
11, Volkswagen,Golf ,1993,"    1200000
    ₸
",Щучинск,хэтчбек,1.9 (дизель),100 000 км,механика,слева,синий,передний привод,Да,,,
12, ВАЗ (Lada),2106 ,1997,"    550000
    ₸
",Жанакорган,седан,1.5 (бензин),853 808 км,механика,слева,вишня,задний привод,Нет,,,
13, Mercedes-Benz,190 ,1992,"    1690000
    ₸
",Темиртау,седан,2 (бензин),,механика,слева,черный,задний привод,Да,,,
14, ВАЗ (Lada),2112 (хэтчбек) ,2007,"    1150000
    ₸
",Актобе,хэтчбек,1.6 (бензин),122 000 км,механика,слева,,передний привод,Нет,,,
15, Lexus,RX 300 ,2002,"    4400000
    ₸
",Актобе,кроссовер,3 (газ-бензин),,автомат,слева,белый,,Да,,,
16, ВАЗ (Lada),2115 (седан) ,2005,"    680000
    ₸
",Актобе,седан,1.5 (бензин),200 000 км,механика,слева,серебристый,передний привод,Нет,,,
17, Honda,CR-V ,1997,"    2700000
    ₸
",Алматы,кроссовер,2 (бензин),,автомат,справа,серебристый,полный привод,Да,,,
18, УАЗ,Буханка ,2011,"    100000
    ₸
",Актобе,минивэн,2.7 (бензин),123 456 км,механика,слева,белый,полный привод,Да,,Да,
19, Nissan,Primera ,1995,"    550000
    ₸
",Нур-Султан (Астана),седан,2 (бензин),300 000 км,механика,слева,красный,передний привод,Да,,,
0, ВАЗ (Lada),2106 ,1997,"    550000
    ₸
",Жанакорган,седан,1.5 (бензин),853 808 км,механика,слева,вишня,задний привод,Нет,,,
1, Mercedes-Benz,190 ,1992,"    1690000
    ₸
",Темиртау,седан,2 (бензин),,механика,слева,черный,задний привод,Да,,,
2, ВАЗ (Lada),2112 (хэтчбек) ,2007,"    1150000
    ₸
",Актобе,хэтчбек,1.6 (бензин),122 000 км,механика,слева,,передний привод,Нет,,,
3, Lexus,RX 300 ,2002,"    4400000
    ₸
",Актобе,кроссовер,3 (газ-бензин),,автомат,слева,белый,,Да,,,
4, ВАЗ (Lada),2115 (седан) ,2005,"    680000
    ₸
",Актобе,седан,1.5 (бензин),200 000 км,механика,слева,серебристый,передний привод,Нет,,,
5, Honda,CR-V ,1997,"    2700000
    ₸
",Алматы,кроссовер,2 (бензин),,автомат,справа,серебристый,полный привод,Да,,,
6, УАЗ,Буханка ,2011,"    100000
    ₸
",Актобе,минивэн,2.7 (бензин),123 456 км,механика,слева,белый,полный привод,Да,,Да,
7, Nissan,Primera ,1995,"    550000
    ₸
",Нур-Султан (Астана),седан,2 (бензин),300 000 км,механика,слева,красный,передний привод,Да,,,
8, Toyota,Camry ,1997,"    1500000
    ₸
",Жанакорган,седан,2.2 (бензин),555 км,механика,слева,золотистый,передний привод,Да,,,
9, Toyota,Camry ,2007,"    4100000
    ₸
",Актобе,седан,2.4 (бензин),167 000 км,автомат,слева,черный,передний привод,Нет,,,
10, Chevrolet,Niva ,2015,"    3400000
    ₸
",Темиртау,внедорожник,1.7 (бензин),99 000 км,механика,слева,серебристый,полный привод,Да,,,
11, Audi,100 ,1991,"    1585553
    ₸
",Актобе,седан,2.3 (бензин),233 951 км,механика,слева,белый,передний привод,Да,,,
12, Lexus,IS 250 ,2007,"    5200000
    ₸
",Алматы,седан,2.5 (бензин),,автомат,слева,серый,полный привод,Да,,,
13, Renault,Logan ,2018,"    4300000
    ₸
",Атырау,седан,1.6 (бензин),11 000 км,автомат,слева,белый,передний привод,Да,,,
14, Mercedes-Benz,E 280 ,1995,"    1800000
    ₸
",Шымкент,седан,2.8 (бензин),275 000 км,механика,слева,,задний привод,Да,,,
15, Volkswagen,Golf ,1992,"    1000000
    ₸
",Тараз,хэтчбек,1.8 (бензин),450 000 км,механика,слева,черный,передний привод,Да,,,
16, Volkswagen,Vento ,1993,"    1200000
    ₸
",Шымкент,седан,1.8 (бензин),,механика,слева,белый,передний привод,Да,,,
17, Mitsubishi,Sigma ,1995,"    1400000
    ₸
",Алматы,седан,2.5 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
18, ВАЗ (Lada),2110 (седан) ,2006,"    870000
    ₸
",Актобе,седан,1.5 (бензин),,механика,слева,черный металлик,,Нет,,,
19, Daewoo,Nexia ,2012,"    1300000
    ₸
",Кызылорда,седан,1.5 (бензин),117 000 км,механика,слева,черный,передний привод,Нет,,,
0, Renault,Logan ,2018,"    4300000
    ₸
",Атырау,седан,1.6 (бензин),11 000 км,автомат,слева,белый,передний привод,Да,,,
1, Mercedes-Benz,E 280 ,1995,"    1800000
    ₸
",Шымкент,седан,2.8 (бензин),275 000 км,механика,слева,,задний привод,Да,,,
2, Volkswagen,Golf ,1992,"    1000000
    ₸
",Тараз,хэтчбек,1.8 (бензин),450 000 км,механика,слева,черный,передний привод,Да,,,
3, Volkswagen,Vento ,1993,"    1200000
    ₸
",Шымкент,седан,1.8 (бензин),,механика,слева,белый,передний привод,Да,,,
4, Mitsubishi,Sigma ,1995,"    1400000
    ₸
",Алматы,седан,2.5 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
5, ВАЗ (Lada),2110 (седан) ,2006,"    870000
    ₸
",Актобе,седан,1.5 (бензин),,механика,слева,черный металлик,,Нет,,,
6, Daewoo,Nexia ,2012,"    1300000
    ₸
",Кызылорда,седан,1.5 (бензин),117 000 км,механика,слева,черный,передний привод,Нет,,,
7, ВАЗ (Lada),2110 (седан) ,2004,"    480000
    ₸
",Актобе,седан,1.6 (бензин),,механика,слева,,передний привод,Нет,,,
8, ГАЗ,ГАЗель ,2005,"    2400000
    ₸
",Шымкент,фургон,2.9 (бензин),5 км,механика,слева,белый,задний привод,Нет,,,
9, Kia,K5 ,2021,"    12100000
    ₸
",Алматы,седан,2 (бензин),,автомат,слева,черный,передний привод,Да,,,
10, Kia,Rio ,2019,"    6550000
    ₸
",Темиртау,седан,1.6 (бензин),31 200 км,автомат,слева,серый,передний привод,Да,,,
11, Nissan,Teana ,2010,"    3250000
    ₸
",Костанай,седан,2.5 (бензин),164 000 км,вариатор,слева,черный,полный привод,Нет,,,
12, Hyundai,Tucson ,2019,"    11300000
    ₸
",Алматы,кроссовер,2 (дизель),25 500 км,автомат,слева,серый,полный привод,Да,,,
13, Daewoo,Nexia ,2012,"    1000000
    ₸
",Шымкент,седан,1.6 (бензин),300 402 км,механика,слева,серебристый,передний привод,Да,,,
14, Mazda,CX-7 ,2006,"    4000000
    ₸
",Усть-Каменогорск,кроссовер,2.3 (бензин),205 824 км,автомат,слева,серый,передний привод,Да,,,
15, Mercedes-Benz,E 280 ,1994,"    2800000
    ₸
",Павлодар,седан,2.8 (бензин),,автомат,слева,сиреневый,задний привод,Да,,,
16, Honda,Domani ,1997,"    800000
    ₸
",Алматы,седан,1.6 (бензин),280 000 км,автомат,справа,серебристый,передний привод,Нет,,,
17, Toyota,Camry ,2012,"    7200000
    ₸
",Шымкент,седан,2.5 (бензин),92 300 км,автомат,слева,серый,передний привод,Да,,,
18, Hyundai,Solaris ,2011,"    3350000
    ₸
",Петропавловск,седан,1.6 (бензин),129 000 км,механика,слева,серебристый,передний привод,Нет,,,
19, Mercedes-Benz,C 200 ,1994,"    1700000
    ₸
",Нур-Султан (Астана),седан,2 (бензин),392 000 км,механика,слева,бордовый,задний привод,Да,,,
0, Daewoo,Nexia ,2012,"    1300000
    ₸
",Кызылорда,седан,1.5 (бензин),117 000 км,механика,слева,черный,передний привод,Нет,,,
1, ВАЗ (Lada),2110 (седан) ,2004,"    480000
    ₸
",Актобе,седан,1.6 (бензин),,механика,слева,,передний привод,Нет,,,
2, ГАЗ,ГАЗель ,2005,"    2400000
    ₸
",Шымкент,фургон,2.9 (бензин),5 км,механика,слева,белый,задний привод,Нет,,,
3, Kia,K5 ,2021,"    12100000
    ₸
",Алматы,седан,2 (бензин),,автомат,слева,черный,передний привод,Да,,,
4, Kia,Rio ,2019,"    6550000
    ₸
",Темиртау,седан,1.6 (бензин),31 200 км,автомат,слева,серый,передний привод,Да,,,
5, Nissan,Teana ,2010,"    3250000
    ₸
",Костанай,седан,2.5 (бензин),164 000 км,вариатор,слева,черный,полный привод,Нет,,,
6, Hyundai,Tucson ,2019,"    11300000
    ₸
",Алматы,кроссовер,2 (дизель),25 500 км,автомат,слева,серый,полный привод,Да,,,
7, Daewoo,Nexia ,2012,"    1000000
    ₸
",Шымкент,седан,1.6 (бензин),300 402 км,механика,слева,серебристый,передний привод,Да,,,
8, Mazda,CX-7 ,2006,"    4000000
    ₸
",Усть-Каменогорск,кроссовер,2.3 (бензин),205 824 км,автомат,слева,серый,передний привод,Да,,,
9, Mercedes-Benz,E 280 ,1994,"    2800000
    ₸
",Павлодар,седан,2.8 (бензин),,автомат,слева,сиреневый,задний привод,Да,,,
10, Honda,Domani ,1997,"    800000
    ₸
",Алматы,седан,1.6 (бензин),280 000 км,автомат,справа,серебристый,передний привод,Нет,,,
11, Toyota,Camry ,2012,"    7200000
    ₸
",Шымкент,седан,2.5 (бензин),92 300 км,автомат,слева,серый,передний привод,Да,,,
12, Hyundai,Solaris ,2011,"    3350000
    ₸
",Петропавловск,седан,1.6 (бензин),129 000 км,механика,слева,серебристый,передний привод,Нет,,,
13, Mercedes-Benz,C 200 ,1994,"    1700000
    ₸
",Нур-Султан (Астана),седан,2 (бензин),392 000 км,механика,слева,бордовый,задний привод,Да,,,
14, Audi,100 ,1992,"    1880000
    ₸
",Талдыкорган,седан,2.3 (бензин),256 000 км,автомат,слева,серый,передний привод,Да,,,
15, ВАЗ (Lada),Largus ,2017,"    3100000
    ₸
",Уральск,универсал,1.6 (бензин),85 000 км,механика,слева,белый,передний привод,Да,,,
16, Mercedes-Benz,E 230 ,1991,"    1650000
    ₸
",Костанай,седан,2.3 (бензин),,автомат,слева,белый,задний привод,Да,,,
17, Toyota,Camry ,2006,"    5900000
    ₸
",Нур-Султан (Астана),седан,2.4 (бензин),267 388 км,автомат,слева,серебристый,передний привод,Да,JTNBE40K*03****43,,
18, УАЗ,Patriot ,2013,"    2200000
    ₸
",Боровое,внедорожник,2.7 (бензин),180 000 км,механика,слева,зеленый,полный привод,Нет,,,
19, BMW,528 ,1997,"    2900000
    ₸
",Шу,седан,2.8 (бензин),350 000 км,автомат,слева,черный,задний привод,Да,,,
